uuid,name,lastname,firstname,group,portfolios,birth_date,birthplace,seat
e91b6cc6-3e4d-4b88-adfc-448ef4077a11,Fernand Etgen,Etgen,Fernand,DP,"",,"",0
b891e5e6-f691-4356-bb7a-a081822bf658,Jeff Engelen,Engelen,Jeff,ADR,"",,"",1
d22dce2f-74f9-46fa-bd68-9bfda2341a44,Fred Keup,Keup,Fred,ADR,"",,"",2
1176aa74-e97d-4605-bbc8-e06f45ac1263,Paul Galles,Galles,Paul,CSV,"",,"",3
d3339529-8719-45cd-8f51-3a62767ad80a,Jean-Paul Schaaf,Schaaf,Jean-Paul,CSV,"",1965-12-04,Ettelbruck,4
003db1c3-5579-403e-b31b-39d4a99c33a7,Diane Adehm,Adehm,Diane,CSV,"",1970-09-13,Ettelbruck,5
4009819c-f380-456a-b5d1-05f8a88a3aa9,Emile Eicher,Eicher,Emile,CSV,"",1955-06-30,Clervaux,6
7d10a6e1-3d8b-4bf6-9a1e-4f851a2a94fc,Viviane Reding,Reding,Viviane,CSV,"",,"",7
86f5ceb2-b63c-4fe5-b6d4-725ae32e9631,Aly Kaes,Kaes,Aly,CSV,"",1955-04-04,Diekirch,8
31a996f1-bf01-453d-abcf-cb6ccc0a8fed,Félix Eischen,Eischen,Félix,CSV,"",1966-02-05,Luxembourg,9
3945714c-4f6f-4332-92d2-4ea108fdd1eb,Marc Lies,Lies,Marc,CSV,"",1968-12-30,Echternach,10
0cd81592-56e5-4c50-ad03-41c8e0c7b179,Serge Wilmes,Wilmes,Serge,CSV,"",1982-05-06,Luxembourg,11
7029477e-b348-497e-93bc-3922f3119ea3,Georges Mischo,Mischo,Georges,CSV,"",,"",12
ac1f3762-85c2-453d-91ab-f2d6b87f07cd,Max Hengel,Hengel,Max,CSV,"",,"",13
f86cd469-b3e0-4d9c-b51a-aa813163b49f,Myriam Cecchetti,Cecchetti,Myriam,DÉI LÉNK,"",1966-03-23,Esch-sur-Alzette,14
844dc4ba-88af-4904-826b-6679c209d963,Nathalie Oberweis,Oberweis,Nathalie,DÉI LÉNK,"",1983-02-20,Luxembourg,15
a5822008-b762-4228-ab23-ecd365a848af,Fernand Kartheiser,Kartheiser,Fernand,ADR,"",1959-09-30,Luxembourg,17
59f6b8a5-08ba-45eb-86e4-db93f6998b80,Roy Reding,Reding,Roy,ADR,"",1965-07-17,Luxembourg,18
9b963db4-77a9-4424-9de8-12fd1ae789ac,Octavie Modert,Modert,Octavie,CSV,"",1966-11-15,Grevenmacher,19
a9842785-fe2b-4203-aaf1-3d7a62c7edf8,Laurent Mosar,Mosar,Laurent,CSV,"",1958-02-08,Luxembourg,20
a5e10561-7d18-41f8-9c68-6668f60a817e,Michel Wolter,Wolter,Michel,CSV,"",1962-09-13,Luxembourg,21
04c85412-9f8c-4547-899c-4d75d1a39f6b,Gilles Roth,Roth,Gilles,CSV,"",1967-03-01,Luxembourg,22
34c3571c-db36-44f0-98f3-abac62763d99,Martine Hansen,Hansen,Martine,CSV,"",1965-12-10,Wiltz,23
cfbc3034-7695-4a32-8d62-b74482c108ff,Claude Wiseler,Wiseler,Claude,CSV,"",1960-01-30,Luxembourg,24
41888d71-80ce-4d3e-b5b8-06915a25cc6b,Léon Gloden,Gloden,Léon,CSV,"",1972-12-09,Ettelbruck,25
7a99edc6-1a16-452f-a0a8-225c822ba532,Jean-Marie Halsdorf,Halsdorf,Jean-Marie,CSV,"",1957-02-01,Luxembourg,26
06f30309-575e-43ed-90bd-6f11792d5c5c,Nancy Arendt épouse Kemp,Arendt épouse Kemp,Nancy,CSV,"",1969-05-22,Esch/Alzette,27
0b696761-361a-496b-9e7c-26a67451df35,Marc Spautz,Spautz,Marc,CSV,"",1963-04-10,Esch-sur-Alzette,28
61db752f-2dd7-4402-be57-0947b68f00dd,Sven Clement,Clement,Sven,Piraten,"",,"",29
8026c6b8-1451-4873-98d8-91c59911d60a,Marc Goergen,Goergen,Marc,Piraten,"",,"",30
19387fcf-d9b4-45dd-b4e9-6f2a5e94d018,Stéphanie Empain,Empain,Stéphanie,déi gréng,"",,"",33
3a251e9f-4f41-49e3-878a-dbd5f59bda84,François Benoy,Benoy,François,déi gréng,"",,"",34
f502bcc1-0b07-4052-a885-6c821ef23b6f,Josée Lorsché,Lorsché,Josée,déi gréng,"",1961-09-09,Dudelange,35
b3059f80-4736-441b-a02b-68359532ef81,Djuna Bernard,Bernard,Djuna,déi gréng,"",,"",36
